"tract","Name","Incarceration_Rate_rP_gP_pall"
51059470300,"McLean, VA",0.0043
24033807102,"Riverdale, Riverdale Park, MD",0.0043
51059450601,"Falls Church, VA",0.0041
11001010100,"Downtown, Washington, DC",0.004
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",0.004
11001000400,"Naval Observatory, Washington, DC",0.0039
11001005301,"Northwest Washington, Washington, DC",0.0039
51059450702,"Annandale, VA",0.0039
51510201100,"North Ridge, Alexandria, VA",0.0038
24033805801,"Adelphi, MD",0.0038
24031702700,"Silver Spring, MD",0.0038
11001000502,"Northwest Washington, Washington, DC",0.0037
24033805904,"Hyattsville, MD",0.0037
51059451502,"Bailey's Crossroads, VA",0.0036
51013100300,"Old Glebe, Arlington, VA",0.0036
51059451100,"Falls Church, VA",0.0033
51510200703,"Southwest Quadrant, Alexandria, VA",0.003
11001000702,"Northwest Washington, Washington, DC",0.003
24033806300,"Hyattsville, MD",0.0029
51610500100,"Falls Church, VA",0.0028
24031705800,"Glen Echo, MD",0.0027
51059451800,"Lincolnia, VA",0.0026
51013101300,"Bluemont, Arlington, VA",0.0025
11001004001,"Adams Morgan, Washington, DC",0.0025
11001004100,"Northwest Washington, Washington, DC",0.0025
11001001002,"Cathedral Heights, Washington, DC",0.0024
51059452802,"Bailey's Crossroads, VA",0.0023
51059420100,"Springfield, VA",0.0023
11001002701,"Northwest Washington, Washington, DC",0.0023
51013103402,"Crystal City, Arlington, VA",0.0023
11001005500,"Northwest Washington, Washington, DC",0.0022
51059452501,"Alexandria, VA",0.0022
51013100900,"Tara - Leeway Heights, Arlington, VA",0.0021
24031705000,"Bethesda, MD",0.0021
51013100600,"Cherrydale, Arlington, VA",0.002
24031705902,"Bannockburn, Bethesda, MD",0.002
51059452400,"Springfield, VA",0.0019
51013103601,"Aurora Highlands, Arlington, VA",0.0018
51059471303,"Falls Church, VA",0.0018
51059470400,"McLean, VA",0.0016
51510202001,"Old Town, Alexandria, VA",0.0016
24031705501,"Chevy Chase, MD",0.0015
24031705100,"Chevy Chase, MD",0.0014
51059471401,"Falls Church, VA",0.0013
51059470500,"McLean, VA",0.0013
51059451200,"Falls Church, VA",0.0013
51510200403,"Landmark, Alexandria, VA",0.0013
11001003900,"Lanier Heights, Washington, DC",0.0011
24031704806,"Bethesda, MD",0.0011
51059451501,"Falls Church, VA",0.001
51013101000,"Arlington, VA",0.0009
51013101100,"East Falls Church, Arlington, VA",0.0009
51510200202,"Seminary Hill, Alexandria, VA",0.0009
24031704600,"Bethesda, MD",0.0008
51059430700,"Springfield, VA",0.0008
51013101802,"Court House, Arlington, VA",0.0008
51059420203,"Alexandria, VA",0.0008
51013103502,"Aurora Highlands, Arlington, VA",0.0008
51013103401,"Fort Myer, Arlington, VA",0.0007
11001000202,"Georgetown, Washington, DC",0.0007
51059480201,"McLean, VA",0.0007
51013102400,"Arlington Heights, Arlington, VA",0.0007
11001001100,"Northwest Washington, Washington, DC",0.0006
